구매id,리뷰날짜,구매옵션,리뷰내용,리뷰점수,수량
aseq****,2023-05-02T03:26:46.184+00:00,상품선택: 1회분,15개월 아기에겐 간이 넘 쎄네요. 싱겁게 먹는 어른은 먹을만한 간? 저도 먹으니 그냥그냥 먹어도 될 정도네요. 반찬구성이 아무래도 두돌은 지나야 할것들이라 개인적으로 아쉽네요ㅠ,4,1
beli*****,2023-04-10T04:40:08.505+00:00,상품선택: 1회분,"정말 요똥인데요 저렇게 날짜랑 냉장 보관시, 냉동 보관시 며칠인지 잘 보이게 적어주셔서 너무나너무나 감사하고 감동입니다~ 맛도 아기가 먹기에 자극적이지 않고 맛있어요^^ 종종 사러 오겠습니다^^",5,1
reve***,2023-06-17T15:26:54.593+00:00,상품선택: 정기배송(4주)(금요일발송),배송 빠르구 좋아요,5,1
klhl******,2023-05-31T17:19:32.095+00:00,상품선택: 정기배송(4주)(화요일발송),너를위한 반찬&amp;국 다 만족해요~~ 정기배송하니 한달 걱정이 없었어요^^ 또 주문할게요!!,5,1
pb****,2023-06-06T13:22:33.873+00:00,상품선택: 1회분,아기가 너무 잘먹어요 또 구매할게요,5,1
kimj*****,2023-06-16T03:14:46.460+00:00,상품선택: 정기배송(4주)(화요일발송),아기가 잘 먹어서 좋아요!!,5,1
avec*******,2023-04-06T15:01:40.900+00:00,상품선택: 1회분,"신선한 이기반찬을 배송받아 먹일 수 있다니,,, 신세계예요!! +_+ 모든종류를 다 잘 먹을 수는 없는데,, 어른이 먹어도 맛잇어서 애기가 잘 안 먹는 반찬은 제가 먹습니다 ㅋㅋㅋ 재료도 다양하고 소스도 다양하게 식단을 잘 구성해주셔서 골고루 다 먹여볼 수 있어서 좋아요! :) 양도 푸짐해서 넉넉하게 먹일 수 있네요~~",5,1
ljm2***,2023-05-16T03:23:31.580+00:00,상품선택: 정기배송(4주)(화요일발송),한번시켜보고 너무좋아서 4주 결제했어요~~~ 한주한주메뉴 기대되요^^,5,1
curi****,2023-05-03T06:41:00.524+00:00,상품선택: 정기배송(4주),아기가 잘 먹고있습니다~ 근데 한가지 메뉴는 꼭 안먹더라구요..향이 강한 비트섞인 반찬이라던가..이건 개인차니 어쩔수없겠죠~ 메뉴를 선택해서 받아볼수있었으면 좋겠어요,5,1
choi******,2023-05-25T10:05:03.307+00:00,상품선택: 정기배송(4주)(화요일발송),대부분 잘먹어서 만족해요 ㅎㅎ,5,1
tnwl*******,2023-05-09T06:18:52.364+00:00,상품선택: 1회분,"워킹맘 집가서 반찬고민안하고 줄수있어서 편해요~
맨날 고기구워서 야채가 너무 없어 고민이였는데 좋네요!
안먹는거 빼고 카톡으로 주문하니 더 좋아요~
다 주문해야 싼데 한두개 빼면
택배비별도에 할인이 없어서 가격이 비슷해져서 아쉽지만 그래도 뭐...안먹는걸 시키는것 보단 나은거같네요 
추가반찬 한두개있어서 변경하면서 시킬 여유가 있음 좋겠어요~!",4,1
ol****,2023-06-07T12:55:48.763+00:00,상품선택: 정기배송(4주)(화요일발송),아이가 잘먹고 저도 편해서 또 주문하려합니다 ^.^,5,1
ljm2***,2023-05-05T22:25:59.605+00:00,상품선택: 1회분,"처음 시켜봐요~ 여기정착할려구요 ㅜㅜ 애가 잘먹어줘요 워낙 안먹던앤데 정말 만족합니다!!
진짜 집반찬느낌!",5,1
lu****,2023-05-31T21:58:13.473+00:00,상품선택: 정기배송(4주)(화요일발송),양도 많고 17개월 아기 잘게 잘라주면 잘먹어요~! 가성비 좋은것 같습니다^-^,5,1
jiae***,2023-06-12T01:42:02.864+00:00,상품선택: 1회분,잘받았습니다감사합니다.,5,1
wlsg*****,2023-05-23T09:19:19.259+00:00,상품선택: 1회분,앞으로종종 시켜먹을거같아요,5,1
by****,2023-05-24T04:03:01.333+00:00,상품선택: 정기배송(4주)(화요일발송),항상 잘 먹이고 있어요~~,5,1
jinh***,2023-05-24T02:06:00.471+00:00,상품선택: 1회분,애기가잘먹어줬으면 좋겠어요..ㅎㅎ,5,1
altm*****,2023-05-04T01:04:21.693+00:00,상품선택: 1회분,편식은 조금 하지만 입맛에 맞는건 어어엄청 잘먹어요! 간도 잘되있고 어른이 먹어도 맛있네요~,5,1
allr******,2023-05-18T01:49:30.760+00:00,상품선택: 정기배송(4주)(화요일발송),"아이도 잘먹는데 어른이
먹어도 진짜 맛있습니다!!ㅎㅎ",5,1
mina*****,2023-05-31T13:19:44.528+00:00,상품선택: 정기배송(4주)(화요일발송),"몇번째 재구매인지 모르겠어요
고기 반찬이 더 많아 졌으면 좋겠어요
추천합니다",5,1
wpru*****,2023-06-02T09:00:08.337+00:00,상품선택: 정기배송(4주),"정말 굉장합니다
아주 맛있어요 저도 같이 먹었어요ㅎㅎ헷",5,1
pjsp********,2023-05-17T01:56:10.862+00:00,상품선택: 정기배송(4주)(화요일발송),포장도 깔끔하고 아이가 잘먹어요~~,4,1
co****,2023-05-10T04:52:15.087+00:00,상품선택: 1회분,다양한메뉴 좋아요. 요번주도 메뉴 마음에 드네요,5,1
bunb*****,2023-05-22T04:31:43.846+00:00,상품선택: 1회분,"워킹맘이라 요리할 시간이 부족해서 여러 업체 반찬 주문해봤는데, 여기 반찬을 제일 잘 먹네요! 다음달부터는 정기배송 할 생각입니다^^",5,1
mare****,2023-06-07T12:44:40.668+00:00,상품선택: 1회분,맛있게 잘 먹고 있어요,5,1
kwon*******,2023-06-09T16:46:37.033+00:00,상품선택: 1회분,아이가 잘먹어서 재주문하려고해요,5,1
junh*****,2023-06-09T13:41:29.029+00:00,상품선택: 정기배송(4주)(화요일발송),빠른배송 너무 감사합니다ㅎ,5,1
spdl******,2023-05-19T23:06:48.650+00:00,상품선택: 1회분,항상 아이 반찬 뭘 해야 신경쓰였는데 다양하게 꼼꼼하게 보내줘서 좋았어요@무엇보다 애기도 넘 잘 먹어서 좋아요,5,1
gunm****,2023-05-13T17:34:50.612+00:00,상품선택: 1회분,아주 좋아요~!재구매 의사 있어요~!,5,1
co****,2023-05-17T09:49:16.153+00:00,상품선택: 1회분,"한우청국장,콩조림 너무 잘먹네요",5,1
peti******,2023-05-17T06:58:20.507+00:00,상품선택: 1회분,종류가 다양하고 푸짐해서 좋아요.,5,1
chul*****,2023-05-17T11:53:00.606+00:00,상품선택: 1회분,배송 빠르고 양도 많도 좋아요!,5,1
pea1*****,2023-04-21T05:40:15.921+00:00,상품선택: 1회분,"엄마는 간편해서 너무 좋은데 아이가 잘 안먹어요.
특히 맥앤치즈랑 진미채는 입에도 안대고 국이랑 양배추볶음은 좀먹었는데 토마토 돼지고기는 오늘 먹여봐야 할듯요. 한번 더 시도 해봐야하나.. 아쉽네요.. ㅜㅜ",3,1
kmy2***,2023-06-02T12:46:29.764+00:00,상품선택: 정기배송(4주)(화요일발송),아주 좋습니다 ㅎㅎ 또 시킬께요,5,1
jn****,2023-06-10T15:14:53.250+00:00,상품선택: 정기배송(4주)(금요일발송),빈찬 다양하게 많아오!,5,1
1205****,2023-05-17T23:03:15.237+00:00,상품선택: 정기배송(4주)(화요일발송),매달 시켜먹는 우리 아기 반찬입니다!!,5,1
2eem*****,2023-06-06T08:58:06.047+00:00,상품선택: 정기배송(4주)(화요일발송),거의 .. 반년넘게 시캬먹는 믿고 시키는 곳,5,1
miye******,2023-04-24T05:23:46.187+00:00,상품선택: 1회분,"아이가 너무 잘 먹어줘서 뿌듯해요.
항상 잘 먹이고 있습니다.
양도 많아서 저도 열심히 뺏어 먹고있어요.
감사합니다.",5,1
bb****,2023-05-30T01:24:39.227+00:00,상품선택: 1회분,잘안먹는아기인데 다른곳보다 여기반찬을 그래도 잘먹었어요~,5,1
bell*****,2023-06-09T04:29:58.936+00:00,상품선택: 정기배송(4주)(화요일발송),계속 정기배송중이에요~^^,5,1
iiis******,2023-05-30T08:06:12.467+00:00,상품선택: 1회분,맛있어요. 아기가 잘 먹습니다,4,1
lobe*****,2023-05-29T01:00:36.974+00:00,상품선택: 1회분,"잘먹는것도 있고 안먹는것도 있고 그랴요..^^;;;
반찬 따로 안만들어서 편한건 있어요 ㅋㅋ",4,1
amig*****,2023-04-26T09:41:24.184+00:00,상품선택: 정기배송(4주),아기 반찬 하기가 어려워 주문했는데.. 중간에 어묵 소시지등이 있어서 좀 그랬어요. 아이건강한거 주문하려 했는데 어묵이라니..,4,1
cje1***,2023-04-18T08:20:18.335+00:00,상품선택: 1회분,5살 아이에게 좀더 다양한반찬을 주고 싶어서 처음 주문했습니다 간도 아이가 먹기 적당한것같고 아이도 맛있게 잘먹었어요~종종 엄마의 반찬고민을 덜어줄수있을것같아요^^감사합니다,5,1
ooda******,2023-05-05T04:30:13.488+00:00,상품선택: 정기배송(4주),구성이 알차고 깔끔해요 계속 정기배송 하고 있어요,5,1
bboy***,2023-06-09T03:14:07.862+00:00,상품선택: 정기배송(4주)(화요일발송),아기가 잘먹어요ㅎㅎ,5,1
zhdz****,2023-04-29T23:13:21.593+00:00,상품선택: 정기배송(4주),"잘먹어서 정기 배송으로 돌렸어요ㅎㅎ
근데 이번엔 안먹는게 좀 있네요 ㅜㅜ
그래도 반찬 너무 훌륭해요ㅎㅎ",5,1
indy***,2023-05-31T03:36:56.340+00:00,상품선택: 1회분,이번에 열무김치 맛있게 잘 먹더라구요,5,1
kraj*******,2023-05-06T01:08:03.546+00:00,상품선택: 1회분,아이가좋아하고 계란알러지가잇는데 빼서 보내주셔서 감사해요,5,1
kraj*******,2023-04-27T10:07:42.189+00:00,상품선택: 1회분,아기가 너무 잘 먹어서 또시킬거에요!!!!!진짜 맛나네용ㅋㅋ 저염이긴하지만,5,1
musi*********,2023-05-04T10:11:06.506+00:00,상품선택: 정기배송(4주),"늘 정기배송시켜먹고있어용 퀄리티며 양, 다양한 메뉴 진짜 좋아요~",5,1
jn****,2023-04-25T13:55:02.919+00:00,상품선택: 1회분,맛있어요!!! 깔끔해요!! 더있는데 이미 소분해서 한개만 찍었어요! 이번엔 4주로 주문해보려구요!,5,1
conq******,2023-04-26T11:43:33.118+00:00,상품선택: 1회분,아기가 먹기 좋아요. 간이 안쎄고 어른이 먹어도 맛있어요. 보관도 용이해서 좋네요.,5,1
kn****,2023-05-03T03:39:03.474+00:00,상품선택: 1회분,어떤 건 잘 먹고 어떤 건 안 먹어요 그래도 안 먹었던 음식을 먹어 보네요,5,1
rkdu*******,2023-06-05T10:24:35.622+00:00,상품선택: 1회분,배송 잘받았습니다.,5,1
hy****,2023-05-31T00:26:17.128+00:00,상품선택: 정기배송(4주)(화요일발송),아이가 잘먹습니다 좋아요,5,1
dldj******,2023-05-31T01:58:46.891+00:00,상품선택: 1회분,감사합니다 잘먹을게요,5,1
chlt*****,2023-05-10T23:26:09.700+00:00,상품선택: 정기배송(4주)(화요일발송),항상 잘 먹이고 있어요!,5,1
hy****,2023-05-31T00:35:27.042+00:00,상품선택: 정기배송(4주),여기 반찬 괜찮아요,5,1
11ys***,2023-05-28T01:23:55.492+00:00,상품선택: 정기배송(4주),식단이 다양하게 와서 좋아요,5,1
meas***,2023-04-19T01:16:15.308+00:00,상품선택: 1회분,너무 맛있어요. 아기는 지금 밥을 거부하는 시기라 잘 안 먹지만 제 입맛엔 전부 맛있어서 만족스럽습니다.,5,1
conq******,2023-04-26T11:44:42.636+00:00,상품선택: 정기배송(4주),이번꺼는 아기가 잘 안먹네요 ㅠ. 저번 반찬이 더 맛있었나봐요. 다음 반찬은 맛있기를 바라봅니다.,5,1
jd11***,2023-04-30T23:33:39.042+00:00,상품선택: 정기배송(4주),반찬 7개 중에 아이가 안먹는 반찬이 있긴 하지만 그건 어른이 맛있게 먹고 있습니다 ㅎㅎ ^^,5,1
hy****,2023-05-31T00:34:55.476+00:00,상품선택: 정기배송(4주),여기서만 반찬 먹습니더,5,1
lobe*****,2023-05-03T10:57:43.807+00:00,상품선택: 1회분,"너무 좋아요. 양도 넉넉하고, 유통기한 꼼꼼히 적어주셔서 좋구요.
아기도 잘 먹고 반찬 걱정 안해도 될 거같아요.
계속 사먹일 예정입니다;)",5,1
so****,2023-05-12T06:22:09.853+00:00,상품선택: 1회분,아기가 잘먹어요 한가지 아쉬운점은 미역국을 먹은 후인데 미역이 배송와서 아쉬웠어요,4,1
etoi*****,2023-04-26T09:50:10.147+00:00,상품선택: 1회분,"포장은 잘돼서 왔네요. 서비스도 주시고 감사합니다.
근데 택배기사님이 문앞도 아니고 복도 가운데다 놓고가서 기분이 상당히 언짢았네요. 회사이미지에도 지장이 가는건데 배송된것까지요. 거래하실때 택배기사님한테 주의좀 주셨으면 좋겠어요.",4,1
gotw****,2023-04-20T14:42:52.837+00:00,상품선택: 1회분,생각보다 양도 많고 맛나요 딜 소분해서 냉장 냉동 보관 해놨어요 ㅎㅎ 잘 먹이겠습니다,5,1
rlaw******,2023-04-10T11:15:17.504+00:00,상품선택: 1회분,"16개월 아이가 감기걸리고 밥을 잘 안먹어서 구매해봤는데 괜찮게 먹는것 같습니다. 
맛본다 살짝먹어봤는데 어른이 먹어도 맛은 괜찮네요 간도 아이들 수준으로 적당한것 같구요 
평소 반찬을 골고루 안먹었는데 그래도 여기반찬은 주먹밥처럼 뭉쳐서 먹이니 채소들도 좀 먹네요ㅜ 
아니다싶음 밥에 숨겨 먹여도 귀신같이 뱉어냈는데 그래도 맛이 괜찮으니 먹긴하는가봐요ㅜ 
앞으로 자주 이용하겠습니다 번창하세요",5,1
rkdu*******,2023-06-14T10:59:25.151+00:00,상품선택: 1회분,좋아요 좋아요ㅑ 좋아요,5,1
ckdg*****,2023-05-13T00:31:29.397+00:00,상품선택: 1회분,"메추리알짜장장조림 쉬어서왔어요
다른반찬은 괜찮은거같은데  장조림만 쉰게왔네요  에휴",1,1
zhdz****,2023-04-20T22:01:03.855+00:00,상품선택: 1회분,"아이가 진짜 잘먹고 양도 많고 국이 정말 맛있네요ㅎㅎㅎ
정기배송 갑니닷!!!!!",5,1
by****,2023-04-20T10:30:56.863+00:00,상품선택: 정기배송(4주),잘 안먹는 아이인데 여기 반찬은 그래도 잘 먹어요! 특히 덮밥류는 한그릇 뚝딱이라 정말 좋네요ㅎㅎㅎ,5,1
miye******,2023-04-03T03:17:04.572+00:00,상품선택: 1회분,우선 맛있고 양도 많아요 무엇보다 저희 아이가 너무 잘먹어요 너무 만족해서 여러사람들한테 알려주고있어요 앞으로도 맛있는음식 부탁드립니다👍,5,1
uh****,2023-05-25T01:45:02.993+00:00,상품선택: 정기배송(4주)(화요일발송),빠른 배송 감사합니다,5,1
0107*******,2023-04-27T01:35:01.228+00:00,상품선택: 1회분,"생선에서 조~금 비린내가 나서 아기가 안먹어서 넘 아쉬웠어요ㅠ 조랭이떡도 냉장고에 넣었다가 돌리면 딱딱하고,,, 렌지에 오래돌리면 같이있는 고기가 마르고..애매~~하네요 ㅠㅠ",4,1
jd****,2023-05-15T05:52:01.699+00:00,상품선택: 정기배송(4주),"맛있게 잘먹었습니다
애기가 맛있어서 항상 잘먹어요",5,1
jd****,2023-05-20T07:37:37.750+00:00,상품선택: 정기배송(4주)(화요일발송),"이제 이거없음 안됩니다
우리딸이 이거 너무 잘먹어요ㅎ",5,1
1205****,2023-05-25T01:40:28.880+00:00,상품선택: 정기배송(4주),우리 아이를 위해 항상 주문합니다.,5,1
sunm*****,2023-05-03T10:42:28.768+00:00,상품선택: 1회분,아직 맛보기전인데 다양해서 좋네요!,5,1
ksw5***,2023-05-03T11:22:17.493+00:00,상품선택: 1회분,양도 많고 아이들도 잘먹네요!,5,1
miye******,2023-04-11T01:35:30.431+00:00,상품선택: 1회분,"아이가 너무 잘먹고 좋아해요.
어른들이 먹어도 좋더라구요 지금 세번째 주문인데
이제 정기배송으로 해야겠어요.
번창하세요",5,1
skss******,2023-05-19T01:30:14.494+00:00,상품선택: 정기배송(4주),다양한 반찬을 시도할수 있어서 좋아요,5,1
co****,2023-05-08T15:49:22.351+00:00,상품선택: 1회분,"한번 주문하니 쭉 주문하게 되네요
안먹는것도 있지만 다양한재료 먹일수 있어 좋아요",5,1
miye******,2023-03-29T04:41:53.570+00:00,상품선택: 1회분,포장도 너무 꼼꼼하고 무엇보다 정성이 느껴져서 좋아요. 저희 친언니가 여기제품 좋다고 강추해서 구매해 봤는데 완전 만족합니다. 저희 아이도 맛있게 먹어주었으면 좋겠네요. 아이만 잘 먹어주면 재구매의사 100%인거같아요.,5,1
chlt*****,2023-05-02T11:05:31.826+00:00,상품선택: 정기배송(4주),항상 잘 먹이고 있습니다!,5,1
kind*****,2023-03-31T05:54:47.851+00:00,상품선택: 정기배송(4주),"아주 꼼꼼하게 배송되었어요!
다만 아이스팩 하나가 구멍이났는지 물이 샜어요..ㅠㅠ

 아이 둘이 먹는데 맛도 있고 찬이 다양해서 좋아요.
앞으로도 계속 주문 예정이에요😊",5,1
85kd*****,2023-05-14T01:17:16.508+00:00,상품선택: 정기배송(4주)(화요일발송),아이가 잘먹어요 그런데 반찬이 거의 다 비슷하요,4,1
whxo*******,2023-05-20T09:03:00.693+00:00,상품선택: 1회분,만족스러워 한달구매햇어요 ㅎ,5,1
wall***,2023-04-13T22:38:37.436+00:00,상품선택: 1회분,"늘 맛있게 잘 먹고 잘 이용하고있어요 ㅎ
맛도좋고 해서 지인들한테도 소개하고있어요 ㅋ",5,1
sd_h****,2023-04-22T10:42:54.579+00:00,상품선택: 1회분,"아기가 잘 먹어요, 식단도 건강 영양 다 챙겨주네요
양도 넉넉하고 !",5,1
xkdi****,2023-04-03T06:02:49.030+00:00,상품선택: 1회분,"16개월 편식 심한 아기 드디어 반찬집 정착이요! 이유식은 잘 먹더니 후기 들어어고나서부터 입맛이 까다로워져 시판을 여기저기 조금씩 먹여봤는데요.
구성도 재료도 맛도 비교할 필요없이 최고입니다~가끔 죽이나 국은 간간할 때가 있지만 맛있어서 아기가 잘 먹어요(짜다고 먹는 아기 전혀아님)! 월욜마다 아기가 좋아하는 반찬이 많이 있길 바라며 깜짝선물 기다리는 기분이에요~
오래오래 이용할 수 있게 이 품질 그대로 쭉~번창하시길 바라요! 사장님 감사합니다",5,1
a0****,2023-04-12T13:56:44.624+00:00,상품선택: 1회분,집에서는 만들기어려운 반찬들도  메뉴가 다양해서 좋아요. 이번에는 주문이 많았는지 수요일저녁에 배송받았어요.,4,1
dnjs*******,2023-04-05T10:09:23.281+00:00,상품선택: 1회분,원래 잘먹는 31개월 아기인데 요즘 먹태기인지 뭔지...잘 안먹을려고 하더라구요 좋아하는 간식이나 반찬만 먹구요 그중에 생선구이 넘 좋아해서 생선만 잇으면 밥이랑 잘 먹는데 그렇다고 매일 생선만 줄순없어서 일쥬일에 두번만 줘요ㅠ그리고 저도 학원가느라 아기 밥하기 넘 힘들어서 검색해서 찾아보다 주문했어요 오늘 배송받아서 아이한테 줫는데 잘 먹을거란 기대는 안햇어요 그래도 잡채랑 닭곰탕으로 오랜만에 밥좀 먹엿네요ㅎㅎ 저도 맛보니 맛이 삼삼하니 좋아요 특히 닭곰탕 넘 맛잇던데요^^ 반찬이랑 여러가지 잇어서 마음 든든하네요 ㅎㅎ,5,1
goth****,2023-04-10T15:01:25.129+00:00,상품선택: 1회분,"소분하다가 찍어서 국은 못찍었어요. 국도 양이 많아요. 반찬마다 냉장 냉동일이 적혀있어서 좋아요
반찬양도 많고요 아이가 잘 먹어줬으면 좋겠어요",5,1
s352****,2023-04-20T07:28:09.373+00:00,상품선택: 1회분,"배송도 꼼꼼하게 잘 포장되어서 오구요
구성도 좋아요
근데 저희 아기가 안먹는게 많네요..어린이집에서는 다 잘먹는 다던데
집에서는 왜케 편식을 하는지
또 시킬지말지 고민이긴해요..안먹는거는 고대로 다 버리게 되서ㅠㅠ
나중에 또 생각나면 주문해보겠습니다!",4,1
skss******,2023-04-24T03:56:51.424+00:00,상품선택: 1회분,"아이가 잘먹어요
또 주문하고싶어요",5,1
amig*****,2023-04-26T09:42:38.659+00:00,상품선택: 정기배송(4주),아이반찬엔 안 들어갔으면 하는 반찬들이 가끔 배송되네요.,4,1
co****,2023-05-04T08:43:37.920+00:00,상품선택: 정기배송(4주),"다양한메뉴와 집밥같은 느낌 좋아요
근데 돼지고기를 잘안먹는데 돼지고기 메뉴가 많아서 고를수 있으면 좋겠네요",5,1
yuna****,2023-05-18T23:58:15.516+00:00,상품선택: 1회분,"포장, 구성, 맛 모두 만족합니다!",5,1
lobe*****,2023-05-18T03:10:23.257+00:00,상품선택: 1회분,잘 받앗습니다 감사합니다,5,1
mare****,2023-05-18T04:47:55.145+00:00,상품선택: 1회분,아이가 맛있게 잘 먹어요,5,1
choi****,2023-04-27T12:40:08.140+00:00,상품선택: 1회분,좋아요 감사합니다^^,5,1
drag******,2023-04-17T10:26:00.064+00:00,상품선택: 정기배송(4주),포장꼼꼼하고 가짓수도 많이오네요! 딱 좋아요,5,1
1205****,2023-05-15T00:06:36.360+00:00,상품선택: 1회분,우리 딸이 너무 잘 먹어서 계속 주문합니다!!,5,1
cklo******,2023-05-17T23:29:32.426+00:00,상품선택: 1회분,아기가 맛있게 잘 먹어요~,5,1
dbsw******,2023-04-21T02:50:08.711+00:00,상품선택: 1회분,"여러가지 반찬도 있고, 국도 넉넉히
있고, 처음시켜보는데 좋은거 같아여 :-)",5,1
choi******,2023-04-20T10:42:25.186+00:00,상품선택: 정기배송(4주),저희애기가 대부분 잘 먹어요 ㅎㅎ 항상 고맙습니다,5,1
ssoh***,2023-04-11T14:08:14.558+00:00,상품선택: 1회분,"아이가 너무 잘 먹어요!
반찬마다 보관 방법과 설명도 상세하게 잘 써주시고 종류도 다양하게 준비해주셔서 좋네요~
양도 제법 넉넉해서 (저희 아이 기준으로)소분하니 3번 정도 먹일 수 있겠더라구요.
국은 4개로 소분했는데 좀 많은 듯해서 5개까지 가능할 것 같기도 해요.
곧 재주문하러 올게요^^",5,1
by****,2023-04-20T10:32:07.484+00:00,상품선택: 정기배송(4주),최고예요!! 계속 정기배송 중입니다ㅎㅎ,5,1
wjdg******,2023-05-20T02:59:33.144+00:00,상품선택: 1회분,아기가 넘나 잘먹어요♡,5,1
jd****,2023-05-15T05:50:31.388+00:00,상품선택: 정기배송(4주),"매번 좋습니다
항상 만족합니다",5,1
co****,2023-05-04T08:36:05.857+00:00,상품선택: 1회분,일반 시판이랑 달라요. 메뉴도 다양하고 정성이 가득한게 보여서 쭉 먹이고 있어요,5,1
mk****,2023-04-24T09:18:08.664+00:00,상품선택: 1회분,늘 시키는 곳이에요 넘 좋아요♡,5,1
youn********,2023-04-11T07:43:07.170+00:00,상품선택: 1회분,계속 주문할꺼 같아요 어제 저녁부터 먹여봤는데 투정한번없어 맛있게 잘먹었어요~~~,5,1
soul******,2023-05-08T04:04:06.492+00:00,상품선택: 1회분,아기가잘먹어요 어른이먹어도 맛있어요 ㅎ,5,1
oops***,2023-04-19T03:55:37.192+00:00,상품선택: 1회분,고기를 안좋아하는 아가라 소고기배추찜은 안먹는데 다른건 엄청 잘먹어요👍,5,1
kipa***,2023-04-24T04:15:30.983+00:00,상품선택: 1회분,"토요일 주문하고 일요일 배송 연락받았는데ㅡ월요일 아침에 배송 받았습니다ㅎㅎ
이번엔 닭고기 위주로만 와서 아쉬워요..
다음엔 식단표 확인하고 주문해야 할듯싶어요",5,1
lale*****,2023-05-09T01:14:01.275+00:00,상품선택: 1회분,아기가 잘 먹네요 재구매 의사 있어요;),5,1
altn****,2023-04-25T13:49:03.820+00:00,상품선택: 1회분,아이가 잘먹었음해서 사봤어요~~,5,1
mk****,2023-04-13T01:20:30.781+00:00,상품선택: 1회분,"제가해주는거엔 한계가있어 
시켜봤는데 넘 좋네요!
자주애용할게요^^",5,1
ly****,2023-04-27T09:07:44.448+00:00,상품선택: 1회분,"3살 아가~~~
맛보기로 한번 시켜 줬는데
다행히 잘 먹었네요
곧 둘째 출산이라 또 이용할듯 싶네요^^",5,1
be****,2023-05-13T06:10:53.633+00:00,상품선택: 1회분,진짜 대만족입니다. 놀랐어요!,5,1
hyej*****,2023-05-06T01:05:17.501+00:00,상품선택: 1회분,"음식 다양하니 좋고 월요일 배송이라 일주일
먹일수 잇어서 참좋은데 아기가 안먹네요ㅠ",4,1
kwon***,2023-05-04T11:59:27.296+00:00,상품선택: 정기배송(4주),좋아요~~ 항상 잘 먹고 있습니다,5,1
drum***,2023-04-19T11:09:09.801+00:00,상품선택: 정기배송(4주),맛있어요 아기가 잘 먹ㄱ습니다. ㅎㅎ,5,1
1205****,2023-04-25T01:35:34.343+00:00,상품선택: 정기배송(4주),"배송도 잘 오고, 아이가 잘 먹어요!!",5,1
mnlo********,2023-05-11T13:37:05.963+00:00,상품선택: 정기배송(4주)(화요일발송),여러군데 시켜봤지만 가장 맛있어욤,5,1
tjek***,2023-04-12T02:37:36.932+00:00,상품선택: 1회분,"다른곳에서 정기적으로 주문하다가 아기가 어느 순간부터 잘 안 먹더라고요
여기저기서 다 주문해서 먹여 봤는데
버리는게 더 많았어요. 근데 여기꺼는 진짜 너무 잘 먹네요
양도 많고 반찬 종류도 너무 맘에 들어요!!
정착입니다!!",5,1
rlaa****,2023-03-07T01:45:20.900+00:00,상품선택: 1회분,"두돌 딸램이 엄마가 만든 반찬은 잘 먹지않네요..
그래서 검색해서 리뷰들이 좋아 구매해봤는데
어제 딸램 생일 맞아 미역국만 직접 끓이고 
주문한 반찬 2개 담아서 저녁 줬는데
오랜만에 완밥수준으로 잘 먹었어요^^
저도 맛이 어떤지 살짝 맛봤는데
어른 입맛에 간이 약하지만 맛이 있더라구요^^
비법이 뭘까요 ㅎㅎ 저도 이렇게 만들수 있음 참 좋겠네요
첫 주문이라 1주 배송만 했는데
다먹으면 4주배송해서 재주문하려구요^^
아이입맛 돌아오게 해주는 반찬맛집이여라♡
오늘은 국도 같이해서 주려고요 😋",5,1
tuli*****,2023-04-20T11:25:15.457+00:00,상품선택: 1회분,아이가 맛있게 먹어요,5,1
junh*****,2023-05-12T12:30:55.415+00:00,상품선택: 정기배송(4주)(화요일발송),빠른배송 감사합니다...,5,1
eunh******,2023-03-28T08:49:26.171+00:00,상품선택: 1회분,"두번째 시키는건데 역시나 구성이 너무 좋네요~ㅎ 
자주애용하겟습니당~^^ 
포장도 훌륭하고 아침일찍 받아볼수 있어서 너무 좋아요~감사합니당",5,1
miye******,2023-04-17T03:14:52.926+00:00,상품선택: 1회분,언제나 애용합니다❤️항상 정성어린 반찬 감사합니다,5,1
bboy***,2023-05-13T03:08:22.973+00:00,상품선택: 정기배송(4주)(화요일발송),배송빠르고 잘먹어요,5,1
aler*****,2023-05-10T12:34:16.493+00:00,상품선택: 1회분,빠른 배송 감사합니다,5,1
joy7****,2023-05-15T01:29:26.646+00:00,상품선택: 1회분,아기가 잘 먹어요~,5,1
mare****,2023-04-19T03:04:05.464+00:00,상품선택: 1회분,배송도 빨랐고 포장도 잘 되어 있어서 받고 기분이 좋았어요. 편식하는 아기인데 맛있게 먹더라구요^^,5,1
indy***,2023-04-27T00:17:41.774+00:00,상품선택: 1회분,국 제외했는데 죽으로 대체해서 왔네요 처음이라 아이가 잘 먹는지 한번 봐야겠어요,5,1
gkwj******,2023-04-12T23:00:15.567+00:00,상품선택: 1회분,아가 처음 먹여봐요 ㅎㅎ 간은 좀 쎄요,5,1
over*****,2023-05-03T16:03:05.566+00:00,상품선택: 1회분,깔끔하고 모두맛있고 만족해요,5,1
dbfl****,2023-05-09T07:15:53.069+00:00,상품선택: 1회분,아기가 너무 잘먹어요!!,5,1
co****,2023-05-04T08:37:14.371+00:00,상품선택: 1회분,"일반 시판과 비교불과, 다양한 메뉴 와 정성
쭉 먹이고 있어요",5,1
indy***,2023-05-12T03:55:17.717+00:00,상품선택: 1회분,두번째 구매입니다.,5,1
